Name	Total Error	Error Squared	Length	Gap length	Simple Inaccuracy
20080927233805	230	52900	13466	450	0.512249443
20081105083259	103213	7032043	5242	1850	47.80163567
20081109055559	21903	871109	14793	1550	13.70208742
20081113035731	50645	4884299	1937	1050	40.05461127
20081114124439	334	53004	35457	1250	0.267325276
20081119011305	1076	35408	7295	250	3.480038023
20081207161131	783	41105	3324	150	3.311565068
20081210075232	2194	76290	236	50	12.47022299
20090113112028	11817	489725	17397	550	19.13309205
20090117223222	230	52900	19960	650	0.354391371
20090131052455	3132	147310	11491	1650	1.895894445
20090203100159	94527	8694173	8579	1750	48.79030126
20090226005433	292	29798	10101	350	0.836676218
20090323212145	3061	28933	17228	1450	2.087453364
20090528211734	28125	1558997	45993	1950	14.33459888
20090930071934	0	0	44254	1150	0
20110502000104	4586	676190	25570	750	6.105205408
20110514111537	15	225	34968	850	0.017667845
20110828143340	250470	11694250	21877	1350	144.6328929
20111119010003	1110	7610	45335	950	1.15220752
