Name	Error	Error Squared	Length	Gap length
20080927233805	230.0000000000	52900.0000000000	13466	450
20081105083259	100865.9562398700	4547630.7795786000	5242	1850
20081109055559	22538.8646034816	494035.3288201150	14793	1550
20081113035731	46389.3311132255	3582100.8801141700	1937	1050
20081114124439	551.3956834532	53012.8958166799	35457	1250
20081119011305	1442.7968127490	33106.6374501991	7295	250
20081207161131	863.6225165563	42054.0331125827	3324	150
20081210075232	1860.4705882353	51362.2875816993	236	50
20090113112028	12022.0744101633	344035.5553539020	17397	550
20090117223222	230.0000000000	52900.0000000000	19960	650
20090131052455	3323.1035735918	147687.7819503330	11491	1650
20090203100159	89925.8498001141	4378883.1724728700	8579	1750
20090226005433	292.0000000000	29798.0000000000	10101	350
20090323212145	4825.1957270848	42216.5534114403	17228	1450
20090528211734	28063.1414659149	1504718.1604305400	45993	1950
20090930071934	0.0000000000	0.0000000000	44254	1150
20110502000104	5065.6085219707	676502.3275632490	25570	750
20110514111537	15.0000000000	225.0000000000	34968	850
20110828143340	285501.0214655810	15089726.7727609000	21877	1350
20111119010003	1140.1514195584	5533.8233438486	45335	950
